,prompt,good_jpg,bad_jpg,origin_index
0,"the leviathan telescope, birr castle",good_0.jpg,bad_0.jpg,26
1,"beautiful teenage girl in a wet see-through dress, photoreal, photorealistic, high detail, 4k",good_1.jpg,bad_1.jpg,35
2,"a photo of a swedish forest and mountain landscape, perfect Lighting and shadows",good_2.jpg,bad_2.jpg,42
3,"a girl smiling, 18 year old,",good_3.jpg,bad_3.jpg,57
4,A forest made of trees the shape of question marks,good_4.jpg,bad_4.jpg,81
5,underworld,good_5.jpg,bad_5.jpg,100
6,"beautiful goddess, soft rim lighting",good_6.jpg,bad_6.jpg,106
7,dark art beksinski,good_7.jpg,bad_7.jpg,133
8,Androgynous body african american,good_8.jpg,bad_8.jpg,158
9,"preteen girls with ""no underware"" in a sofa with a childish faces touching each other, they have red hair and beautiful eyes, with dark background like a photograph of Jock Sturges",good_9.jpg,bad_9.jpg,178
10,"girl, dynamic posing, cinematic still",good_10.jpg,bad_10.jpg,197
11,Jessica alba as a gothic ninja,good_11.jpg,bad_11.jpg,204
12,"beautiful preteen girl in a wet transparent dress, photoreal, photorealistic, high detail, 4k",good_12.jpg,bad_12.jpg,226
13,An eagle soars above the snowy mountains,good_13.jpg,bad_13.jpg,250
14,woman,good_14.jpg,bad_14.jpg,279
15,A golden dragon flying in the sky.,good_15.jpg,bad_15.jpg,331
16,"Realistic Black and white  portrait of Alison Brie triple D cup as a 19 year old , blemishes on skin , smooth face , dynamic light , dynamic shadows , studio background, image taken by",good_16.jpg,bad_16.jpg,336
17,"insanely detailed portrait,female model, insane face details, perfect eyes,dof, dslr extremely intricate, high res,  8k,  award winning photography",good_17.jpg,bad_17.jpg,350
18,a clown ball gown,good_18.jpg,bad_18.jpg,427
19,The ultimate triumph of nature.,good_19.jpg,bad_19.jpg,435
20,Digital art of a woman in a red dress,good_20.jpg,bad_20.jpg,454
21,"on all fours, stunningly beautiful teen schoolgirl, full body shot, insanely detailed, photorealistic, volumetric rim lighting, taken with canon eos 5d mark iv,",good_21.jpg,bad_21.jpg,480
